EX_0
0   {'nbox': [204.0, 146.0, 350.0, 275.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [0.0, 146.0, 93.0, 223.0], 'question': 'Move the tv to the left side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_9
0   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [298.0, 146.0, 393.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [302.0, 146.0, 396.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [208.0, 146.0, 302.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [298.0, 147.0, 391.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [214.0, 146.0, 308.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the tv to the right.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_10
0   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [298.0, 147.0, 391.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [298.0, 146.0, 391.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [207.0, 147.0, 301.0, 224.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.59123, 146.74425, 298.31622, 223.381  ], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [275.0, 146.0, 369.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [399.0, 147.0, 493.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [298.0, 147.0, 391.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [307.0, 146.0, 401.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [358.0, 146.0, 452.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right side.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_11
0   {'nbox': [298.0, 147.0, 392.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [364.0, 147.0, 458.0, 224.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [298.0, 147.0, 392.0, 224.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [407.0, 146.0, 502.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.58719, 146.72653, 298.2635 , 223.35843], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [378.0, 146.0, 472.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.45218, 146.61731, 298.41714, 223.44913], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [300.0, 146.0, 394.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.45218, 146.61731, 298.41714, 223.44913], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [360.0, 146.0, 454.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [405.0, 146.0, 499.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.58719, 146.72653, 298.2635 , 223.35843], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [370.0, 147.0, 463.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [298.0, 146.0, 392.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.45218, 146.61731, 298.41714, 223.44913], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [350.0, 146.0, 443.0, 223.0], 'question': 'Move the tv to the right side of image.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_12
0   {'nbox': [204.0, 101.0, 298.0, 178.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 82.0, 298.0, 159.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 132.0, 298.0, 209.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 119.0, 298.0, 196.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 100.0, 298.0, 177.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 100.0, 298.0, 177.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 126.0, 298.0, 203.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 141.0, 298.0, 218.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 111.0, 298.0, 188.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 118.0, 298.0, 195.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 81.0, 298.0, 158.0], 'question': 'Move the tv upward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_13
1   {'nbox': [204.0, 128.0, 298.0, 205.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 112.0, 298.0, 189.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 121.0, 298.0, 198.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [205.0, 147.0, 298.0, 224.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 147.0, 298.0, 224.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 96.0, 298.0, 173.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 97.0, 298.0, 174.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 97.0, 298.0, 174.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 117.0, 298.0, 194.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 100.0, 298.0, 177.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 105.0, 298.0, 182.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 66.0, 298.0, 143.0], 'question': 'Move the tv upside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_14
0   {'nbox': [204.0, 139.0, 298.0, 216.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 136.0, 298.0, 213.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 128.0, 298.0, 205.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 50.0, 298.0, 127.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 141.0, 298.0, 217.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 141.0, 298.0, 218.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 130.0, 298.0, 207.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 116.0, 298.0, 193.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 141.0, 298.0, 213.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 112.0, 298.0, 189.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 125.0, 298.0, 202.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 130.0, 298.0, 207.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 100.0, 298.0, 177.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 126.0, 298.0, 203.0], 'question': 'Move the tv up\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_15
0   {'nbox': [204.0, 170.0, 298.0, 247.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 197.0, 298.0, 274.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 240.0, 298.0, 317.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 181.0, 298.0, 258.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 181.0, 298.0, 258.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 248.0, 298.0, 325.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 223.0, 298.0, 298.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 182.0, 298.0, 259.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 171.0, 298.0, 248.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 174.0, 298.0, 251.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 247.0, 298.0, 324.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 170.0, 298.0, 247.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 300.0, 298.0, 377.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv downward.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_16
0   {'nbox': [204.0, 225.0, 298.0, 302.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 224.0, 298.0, 301.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 268.0, 298.0, 345.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 270.0, 298.0, 347.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 273.0, 298.0, 350.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 268.0, 298.0, 345.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 254.0, 298.0, 331.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 292.0, 298.0, 369.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 280.0, 298.0, 357.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [204.0, 224.0, 298.0, 301.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
13   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 352.0, 298.0, 429.0], 'question': 'Move the tv downside.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_17
0   {'nbox': [204.0, 161.0, 298.0, 238.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 170.0, 298.0, 247.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 190.0, 298.0, 267.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 223.0, 298.0, 300.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 256.0, 298.0, 333.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [205.0, 224.0, 298.0, 303.0], 'question': 'Move the tv down.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
